timestamp,host,cpu_pct,memory_pct,disk_io,network_in,network_out,error_count
2025-03-15T00:00:00Z,web-01,10.0,43.9,32015,371659,234821,0
2025-03-15T00:00:00Z,web-02,23.5,32.8,6682,104860,35805,0
2025-03-15T00:00:00Z,web-03,55.4,39.6,5446,218758,139550,0
2025-03-15T00:00:00Z,db-01,32.5,42.7,7893,26432,19870,0
2025-03-15T00:00:00Z,worker-01,49.2,33.2,29301,299734,260646,0
2025-03-15T00:05:00Z,web-01,45.2,30.2,41180,448026,212083,0
2025-03-15T00:05:00Z,web-02,62.3,50.3,8407,279249,145941,0
2025-03-15T00:05:00Z,web-03,47.5,39.0,2584,127635,282417,0
2025-03-15T00:05:00Z,db-01,50.3,72.8,26150,297591,293923,0
2025-03-15T00:05:00Z,worker-01,21.9,64.9,31618,195770,26815,0
2025-03-15T00:10:00Z,web-01,16.3,82.7,8065,374657,171852,0
2025-03-15T00:10:00Z,web-02,28.0,53.9,37686,427224,118857,0
2025-03-15T00:10:00Z,web-03,11.8,37.4,387,289057,144444,0
2025-03-15T00:10:00Z,db-01,65.3,36.2,31763,197622,93469,0
2025-03-15T00:10:00Z,worker-01,28.4,42.3,13859,443775,71796,0
2025-03-15T00:15:00Z,web-01,17.3,71.4,31122,477271,55235,0
2025-03-15T00:15:00Z,web-02,67.0,56.8,18134,414582,153682,0
2025-03-15T00:15:00Z,web-03,12.8,39.5,18183,361374,194370,0
2025-03-15T00:15:00Z,db-01,33.2,49.0,6626,257742,260934,0
2025-03-15T00:15:00Z,worker-01,20.0,82.5,18008,72294,8594,0
2025-03-15T00:20:00Z,web-01,21.0,43.3,45823,358099,86367,0
2025-03-15T00:20:00Z,web-02,23.5,73.7,43016,78870,149416,0
2025-03-15T00:20:00Z,web-03,24.1,72.3,16837,24702,297054,0
2025-03-15T00:20:00Z,db-01,47.1,50.3,41013,244281,206049,0
2025-03-15T00:20:00Z,worker-01,41.6,55.2,30546,379022,177763,0
2025-03-15T00:25:00Z,web-01,65.0,51.7,42722,54208,185759,0
2025-03-15T00:25:00Z,web-02,26.5,79.4,11860,158851,17130,0
2025-03-15T00:25:00Z,web-03,30.8,59.4,49855,103750,186935,0
2025-03-15T00:25:00Z,db-01,45.8,30.2,48200,161181,92089,0
2025-03-15T00:25:00Z,worker-01,19.1,51.5,7918,393982,210692,0
2025-03-15T00:30:00Z,web-01,36.2,72.8,19058,419211,107420,0
2025-03-15T00:30:00Z,web-02,30.5,34.2,45436,29713,203987,0
2025-03-15T00:30:00Z,web-03,69.2,64.9,28615,467262,245962,0
2025-03-15T00:30:00Z,db-01,68.2,56.3,17136,332950,138114,0
2025-03-15T00:30:00Z,worker-01,47.6,38.1,23488,265444,119969,0
2025-03-15T00:35:00Z,web-01,29.5,44.3,12314,366452,101020,0
2025-03-15T00:35:00Z,web-02,64.2,74.7,20348,152568,44012,0
2025-03-15T00:35:00Z,web-03,21.0,65.1,25865,97926,34397,0
2025-03-15T00:35:00Z,db-01,27.9,46.4,20261,177154,195923,0
2025-03-15T00:35:00Z,worker-01,43.5,49.8,16814,200101,253655,0
2025-03-15T00:40:00Z,web-01,58.1,47.0,39665,4377,16510,0
2025-03-15T00:40:00Z,web-02,12.6,67.8,4534,439341,129610,11
2025-03-15T00:40:00Z,web-03,43.0,81.6,45637,398248,152917,0
2025-03-15T00:40:00Z,db-01,68.8,59.8,25369,108946,174494,0
